Category,Sentence,Severity Level
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রেজেন্টেশনে ভালো না করলে কয়েকদিন নিজেকে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন ছোট কাজে ভুল হলে মনে হয় আমি দুর্বল।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বন্ধুকে সময় দিতে না পারলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজের চাপ সামলাতে না পারলে মনে হয় আমি অক্ষম।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বাবা-মায়ের চোখে আমি যথেষ্ট সফল নই মনে হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনে যথেষ্ট এগোতে পারিনি।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,সবার প্রত্যাশা পূরণ করতে না পারলে নিজেকে ব্যর্থ মনে হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজের টার্গেট মিস করলে কয়েকদিন অপরাধবোধ কাজ করে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বন্ধুদের সাফল্যের সামনে নিজেকে ছোট মনে হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিনই মনে হয় আমি যথেষ্ট পরিশ্রম করছি না।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,সহজ কোনো কাজে সাহায্য চাইতে হলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পরিবারের আর্থিক দায়িত্ব নিতে না পারলে অপরাধবোধ হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,শিক্ষক প্রশংসা না করলে মনে হয় আমি ভালো ছাত্র নই।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রিয়জনকে খুশি করতে না পারলে হতাশ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজের ফলাফল প্রত্যাশা মতো না হলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিনই মনে হয় আমি আরও ভালো হতে পারতাম।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নতুন কিছু শিখতে দেরি হলে নিজেকে অযোগ্য মনে হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজের ভুল সিদ্ধান্তে পরিবার কষ্ট পেলে অপরাধবোধ হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বন্ধুদের সাথে তাল মেলাতে না পারলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিনই মনে হয় আমি নিজের যথেষ্ট মূল্য দিতে পারছি না।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ঘরের কাজ ফেলে রাখলে নিজের কাছে অপরাধবোধ হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পড়াশোনায় মনোযোগ না দিলে মনে হয় আমি গাফিলতি করছি।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রিয়জনকে সময় দিতে না পারলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি সবার থেকে পিছিয়ে যাচ্ছি।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ক্লাসে অংশগ্রহণ করতে না পারলে নিজেকে দুর্বল মনে হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পরিবারকে আর্থিকভাবে সাহায্য করতে না পারলে খারাপ লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিনই মনে হয় আমি দায়িত্বগুলো ঠিকভাবে পালন করছি না।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ভুলে কাউকে কষ্ট দিলে নিজের কাছে অপরাধবোধ হয়।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে বারবার হেল্প নিতে হলে নিজের কাছে লজ্জা লাগে।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিনই মনে হয় আমি নিজের সম্ভাবনা নষ্ট করছি।,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারের বোঝা হয়ে গেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"যতই চেষ্টা করি, মনে হয় কোনো কাজে ভালো করতে পারি না।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পড়াশোনা করতে বসলেই মনে হয় আমি ব্যর্থ ছাত্র।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন অফিসে ভুল করি, মনে হয় আমি কারো ভরসা করার মতো নই।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ছোট ভাই-বোনের সামনে উদাহরণ হতে পারছি না বলে লজ্জা পাই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় বাবা-মায়ের স্বপ্ন আমি ভেঙে দিচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজ করতে গিয়ে ভুল হলে ঘণ্টার পর ঘণ্টা অপরাধবোধে থাকি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনটা নষ্ট করে ফেলছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"বন্ধুরা এগিয়ে যাচ্ছে, আমি থেমে আছি—এই ভেবে নিজেকে ব্যর্থ মনে হয়।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি কোনো কাজে কাউকে খুশি করতে পারি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,অফিসে দায়িত্ব পালন করতে না পারলে মনে হয় আমি অযোগ্য।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন মনে হয় আমি যদি আরও বুদ্ধিমান হতাম, পরিবার খুশি হতো।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে ব্যর্থ হলে মনে হয় আমি সবার কাছে হাসির পাত্র।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন নিজের ভুল নিয়ে চিন্তা করতে করতে ঘুমাতে যাই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পড়াশোনার রেজাল্ট খারাপ হওয়ায় মনে হয় আমার ভবিষ্যৎ শেষ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারকে নিরাশ করছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,সহজ কাজও ঠিকমতো করতে না পারলে মনে হয় আমি অক্ষম।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আশেপাশের সবার থেকে পিছিয়ে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,সিদ্ধান্ত নিতে গিয়ে ভুল করলে মনে হয় আমি পুরো পরিবারের ক্ষতি করলাম।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি নিজের জন্য কিছুই করতে পারছি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজের জায়গায় সবার চেয়ে কম অবদান রাখলে খারাপ লাগে সারাদিন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার চেষ্টা কোনো কাজেই আসে না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,টিমে কেউ আমার কথা গুরুত্ব না দিলে মনে হয় আমি মূল্যহীন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি সবার জন্য হতাশার কারণ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"জীবনে যত সুযোগ পেয়েছি, সব নষ্ট করে ফেলেছি—এই ভাবনা প্রায়ই আসে।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন ছোট কোনো ভুলে মনে হয় আমি ব্যর্থ মানুষ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,চাকরিতে উন্নতি না হওয়ায় প্রতিদিন মনে হয় আমি যথেষ্ট নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারে কিছুই অবদান রাখতে পারছি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আত্মীয়রা অন্যদের প্রশংসা করলে মনে হয় আমি অপদার্থ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনে কোনো দিকেই এগোতে পারিনি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বন্ধুরা সুখী হলে আমি কেন পারলাম না—এই ভেবে খারাপ লাগে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down," প্রতিদিন মনে হয় আমি পরিবারের গর্ব নয়, বরং লজ্জা।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজের ভুলের জন্য অন্যরা কষ্ট পাচ্ছে—এই ভাবনা সারাদিন তাড়া করে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি যথেষ্ট দায়িত্ববান নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে সামান্য ভুল হলে নিজেকে অকেজো মনে হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আমার যোগ্যতা নষ্ট করছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, আশেপাশের সবার সাফল্য দেখে মনে হয় আমি ব্যর্থ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন মনে হয় আমি যা করি, কিছুই ঠিকঠাক হয় না।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"বাবা-মায়ের চোখের দিকে তাকাতেও কষ্ট হয়, মনে হয় তাদের নিরাশ করেছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি নিজের জন্যও কিছু করতে পারি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ভাই-বোনদের সাহায্য করতে না পেরে মনে হয় আমি কোনো কাজের না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি কারো কাছে মূল্যবান নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে ভালো ফল না হলে মনে হয় আমি অকৃতজ্ঞ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন নিজের সাথে লড়াই করি, মনে হয় আমি হেরে যাচ্ছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,জীবনের প্রতিটি মুহূর্তে মনে হয় আমি সবার থেকে পিছিয়ে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আশেপাশের সবাইকে নিরাশ করছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,যেকোনো ভুল সিদ্ধান্তে মনে হয় আমি পরিবারের ক্ষতি করেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কোনো ক্ষমতা বা যোগ্যতা নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, নিজের প্রতিফলন দেখলেই মনে হয় আমি ব্যর্থ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি নিজের ভবিষ্যৎ নষ্ট করে ফেলছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারের সব স্বপ্ন ভেঙে দিয়েছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"যত কিছুই করি, মনে হয় আমি কারো চোখে সম্মান অর্জন করতে পারিনি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন কাজের ভুলের কারণে মনে হয় আমি সবার বোঝা হয়ে গেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"ভাই-বোনের সামনে দাঁড়াতেই লজ্জা লাগে, মনে হয় আমি ব্যর্থ।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কারণে বাবা-মা কষ্ট পাচ্ছে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"পড়াশোনায় মন বসে না, সবসময় মনে হয় আমি কিছুই পারি না।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনের প্রতিটি সুযোগ নষ্ট করেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"ঘরে যত কাজ করি, মনে হয় সঠিকভাবে করতে পারিনি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বন্ধুরা সফল হলে প্রতিদিন নিজেকে অপদার্থ মনে হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি নিজের জীবনের উপর নিয়ন্ত্রণ হারিয়েছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"বাবা-মায়ের সাথে চোখ মেলাতে ভয় লাগে, মনে হয় তাদের নিরাশ করেছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি সবার জন্য বোঝা হয়ে যাচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজের ব্যর্থতার কথা ভেবে রাতে ঘুম আসে না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কারণে পরিবার সমাজে মুখ উঁচু করতে পারে না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,সামান্য সমালোচনাতেই মনে হয় আমি একেবারে মূল্যহীন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন মনে হয় আমি যা করি, সবই ভুল হয়।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে মনোযোগ দিলেও শেষে ব্যর্থ হয়ে যাই—এই ভেবে অপরাধবোধ হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি অন্যদের জন্য লজ্জার কারণ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ভাই-বোনের সাফল্যের সামনে দাঁড়ালে নিজেকে শূন্য মনে হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আমার নিজের ভবিষ্যৎ ধ্বংস করেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"আত্মীয়দের সামনে দাঁড়াতে ভয় পাই, মনে হয় তারা আমাকে ব্যর্থ ভাবছে।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার জীবনে কোনো মূল্য নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, কাজে ভালো ফল না হলে মনে হয় আমি একেবারে অযোগ্য।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, প্রতিদিন মনে হয় আমি শুধু পরিবারকে কষ্ট দিচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ঘরে ছোটখাটো দায়িত্ব পালন করতেও গর্ব করতে পারি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনের সবদিকেই হেরে যাচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"বন্ধুরা যখন এগোয়, তখন মনে হয় আমি এখনো পিছায়ে আছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আমার যোগ্যতাকে নষ্ট করেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বাবা-মায়ের সামান্য কথাতেও মনে হয় আমি ব্যর্থ সন্তান।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি শুধু ভুল সিদ্ধান্ত নিই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজে ব্যর্থ হয়ে প্রতিদিন নিজের উপর রাগ হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আমার পরিবারকে হতাশা ছাড়া কিছুই দিইনি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ভাই-বোনদের সাহায্য করতে না পারায় প্রতিদিন কষ্ট হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার আশেপাশে সবাই হতাশ হয়ে যাচ্ছে আমার জন্য।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজের ছবি দেখলেই মনে হয় আমি ব্যর্থ মানুষ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার জীবনের কোনো সঠিক দিশা নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজ করতে না পারলে মনে হয় আমি পুরো টিমকে হতাশ করছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারের কাছে বোঝা ছাড়া কিছুই নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, নিজের ভুলে প্রতিদিন মনে হয় আমি সবার ক্ষতি করছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আশেপাশের সবার থেকে নিচে পড়ে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,বাবা-মায়ের গর্ব হওয়ার বদলে প্রতিদিন মনে হয় আমার কারণে তারা সবার কাছে লজ্জা পায়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কোনো অর্জনই নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজের ব্যর্থতায় প্রতিদিন মনে হয় আমি ভবিষ্যৎহীন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনের সব ক্ষেত্রে ব্যর্থ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down," বন্ধুদের সামনে দাঁড়াতে লজ্জা পাই, মনে হয় আমি পিছিয়ে গেছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি নিজের জীবনটা নষ্ট করে ফেলেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ঘরে ছোটখাটো সিদ্ধান্ত নিতে না পারলেও নিজেকে অক্ষম মনে হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি কাউকে খুশি করতে পারি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজের ভেতরে সবসময় অপরাধবোধ নিয়ে বেঁচে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন মনে হয় আমি যতদিন বেঁচে আছি, ততদিন পরিবারকে নিরাশ করছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি শুধু পরিবারের জন্য অভিশাপ হয়ে বেঁচে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি যা করি সবকিছুই ভুল হয়—এই ভাবনা থেকে বের হতে পারি না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারকে ধ্বংস করে দিয়েছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমার জন্য বাবা-মা সমাজে মাথা উঁচু করে দাঁড়াতে পারে না।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার জন্মই ব্যর্থতা ছাড়া কিছু নয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"আমি যতদিন বেঁচে আছি, ততদিন পরিবার কষ্ট পাচ্ছে—এই অনুভূতি সবসময় সাথে থাকে।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি জীবনে একটাও সঠিক সিদ্ধান্ত নিতে পারিনি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"ভাই-বোনদের সামনে দাঁড়াতে ভয়ে কাঁপতে থাকি, মনে হয় আমি তাদের লজ্জা।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি সবার চোখে কেবল ব্যর্থতার প্রতীক।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, নিজের অস্তিত্বকেই প্রতিদিন অপমানজনক মনে হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পৃথিবীর জন্যও অপ্রয়োজনীয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down, নিজেকে দেখলেই ঘৃণা হয়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি শুধু পরিবারের ভবিষ্যৎ অন্ধকার করে দিচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কাজ করতে গিয়ে বারবার ব্যর্থ হয়ে মনে হয় আমি বোঝা ছাড়া কিছু নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"প্রতিদিন মনে হয় আমি যতটা বেঁচে আছি, ততটাই সবাইকে কষ্ট দিচ্ছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"বাবা-মায়ের চোখের দিকে তাকাতে ইচ্ছে করে না, মনে হয় আমি তাদের ধ্বংস করেছি।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি কোনো ভালো কিছুর যোগ্য নই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"আমি যেখানেই যাই, সেখানেই মানুষকে নিরাশ করি—এই অনুভূতি ছাড়ে না।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কোনো অস্তিত্বই থাকার দরকার নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি শুধু ভুল করেছি—এই অনুভূতি আমার প্রতিদিনের সঙ্গী।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি একেবারে মূল্যহীন মানুষ।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"নিজের জন্য যেমন কিছু করতে পারিনি, কারো জন্যও পারিনি—এই ভেবে প্রতিদিন কষ্ট পাই।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার জীবন মানেই ব্যর্থতা।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,যেকোনো কাজে ব্যর্থ হলে মনে হয় আমার অস্তিত্বই মূল্যহীন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারের সম্মান একেবারে মাটিতে মিশিয়ে দিয়েছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"নিজের নামটাই শুনতে খারাপ লাগে, মনে হয় আমি লজ্জার কারণ।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি পরিবারে বোঝা হয়ে পড়ে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"যত অর্জনই হোক, মনে হয় তা কারো চোখে মূল্যহীন।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি শুধু অন্যদের দুঃখ বাড়াচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি প্রতিদিন ভেবে যাই কেন আমি এত ব্যর্থ হয়ে জন্মালাম।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কারণে পরিবার আমার উপর ঘৃণা করছে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি কিছুই ঠিক মতো করতে পারি না—এই ভাবনা থেকে মুক্তি নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার জীবন একেবারে অর্থহীন।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি বেঁচে থেকে শুধু সবাইকে কষ্ট দিচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি ব্যর্থতার বোঝা হয়ে পৃথিবীতে বেঁচে আছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,ভাই-বোনদের সামনে নিজেকে মানুষ বলতেও লজ্জা লাগে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার ভবিষ্যৎ একেবারেই শেষ হয়ে গেছে।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি প্রতিদিন অনুভব করি আমি পরিবারের জন্য কালো অধ্যায়।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমার কোনো ভালো দিক নেই।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"আমি যত চেষ্টা করি, প্রতিদিনই নিজেকে আরও ব্যর্থ মনে হয়।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,প্রতিদিন মনে হয় আমি আমার জীবনের সব সম্ভাবনা শেষ করে ফেলেছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"আমি প্রতিদিন ভাবি, আমি ছাড়া পরিবার হয়তো ভালো থাকত।",Depressed
